algo,taille,serie,temps,hauteur
vorace,5000,6,0.001075 ,1452762
vorace,5000,6,0.001046 ,1455707
vorace,5000,6,0.001244 ,1484541
vorace,5000,6,0.001047 ,1440831
vorace,5000,6,0.001045 ,1524262
vorace,5000,6,0.001064 ,1646278
vorace,5000,6,0.001155 ,1489684
vorace,5000,6,0.001126 ,1525423
vorace,5000,6,0.001084 ,1489063
vorace,5000,6,0.001051 ,1471896
vorace,100000,10,0.027373 ,130087601
vorace,100000,10,0.026647 ,134695868
vorace,100000,10,0.026469 ,128247239
vorace,100000,10,0.026596 ,131383292
vorace,100000,10,0.026813 ,133865795
vorace,100000,10,0.026766 ,134515049
vorace,100000,10,0.027293 ,133567841
vorace,100000,10,0.028532 ,131722874
vorace,100000,10,0.026580 ,130390594
vorace,100000,10,0.026521 ,130287378
vorace,10000,6,0.002201 ,3958565
vorace,10000,6,0.002445 ,4053383
vorace,10000,6,0.002290 ,3982223
vorace,10000,6,0.002664 ,4229242
vorace,10000,6,0.002291 ,4206064
vorace,10000,6,0.002683 ,4001338
vorace,10000,6,0.002238 ,4130571
vorace,10000,6,0.002486 ,3914850
vorace,10000,6,0.002284 ,3897529
vorace,10000,6,0.002492 ,3929676
vorace,50000,3,0.012358 ,46756868
vorace,50000,3,0.012345 ,46779370
vorace,50000,3,0.012384 ,47361342
vorace,50000,3,0.012466 ,46179485
vorace,50000,3,0.012538 ,47136402
vorace,50000,3,0.012402 ,48183084
vorace,50000,3,0.012798 ,47083380
vorace,50000,3,0.012385 ,46047751
vorace,50000,3,0.012484 ,46976861
vorace,50000,3,0.012464 ,46830980
vorace,50000,6,0.012462 ,44901149
vorace,50000,6,0.012508 ,44332060
vorace,50000,6,0.012510 ,44695783
vorace,50000,6,0.012492 ,43866619
vorace,50000,6,0.012520 ,44442026
vorace,50000,6,0.012542 ,42089980
vorace,50000,6,0.012495 ,43388499
vorace,50000,6,0.012479 ,44375753
vorace,50000,6,0.012462 ,44701587
vorace,50000,6,0.012481 ,44713712
vorace,100000,6,0.026258 ,130799027
vorace,100000,6,0.026961 ,134200269
vorace,100000,6,0.026332 ,132357368
